"alpha.water","UnityVector:0","UnityVector:1","UnityVector:2","U:0","U:1","U:2","UMag","Points:0","Points:1","Points:2"
-1.7744e-39,1.0166,-0.13342,-6.9658e-05,1.0166,-6.9658e-05,-0.13342,1.0253,14.976,-1.9625,0.15444
-0,1.0173,-0.13245,0.0021712,1.0173,0.0021712,-0.13245,1.0259,14.976,-6.175,0.15521
-0,1.0226,-0.1558,-7.5262e-05,1.0226,-7.5262e-05,-0.1558,1.0344,14.976,-4.125,0.12907
-2.1019e-44,1.0225,-0.1586,-0.00030783,1.0225,-0.00030783,-0.1586,1.0348,14.976,-0.9375,0.1287
-2.8026e-45,1.0225,-0.14732,0.00025115,1.0225,0.00025115,-0.14732,1.033,14.976,1.5625,0.1287
-0,1.0226,-0.15682,0.00014252,1.0226,0.00014252,-0.15682,1.0346,14.976,4.375,0.12907
-0,1.0341,-0.21517,-0.00088313,1.0341,-0.00088313,-0.21517,1.0562,14.976,6.025,0.1034
0,1.032,-0.2093,0.00024278,1.032,0.00024278,-0.2093,1.053,14.976,2.3875,0.10321
-2.2841e-43,1.032,-0.21129,0.0001602,1.032,0.0001602,-0.21129,1.0534,14.976,-0.1125,0.10321
0,1.0314,-0.2056,0.0061939,1.0314,0.0061939,-0.2056,1.0517,14.976,-2.6126,0.10322
-0,1.0289,-0.21953,0.020233,1.0289,0.020233,-0.21953,1.0523,14.976,-7.4828,0.10404
9.4996e-38,1.0595,-0.13058,0.0088152,1.0595,0.0088152,-0.13058,1.0675,14.976,-2.8315,0.077981
-0,1.0608,-0.14091,-0.00046144,1.0608,-0.00046144,-0.14091,1.0701,14.976,-0.2875,0.077907
0,1.0613,-0.13793,0.00023875,1.0613,0.00023875,-0.13793,1.0702,14.976,2.2125,0.077907
-0,1.061,-0.14907,-0.0019118,1.061,-0.0019118,-0.14907,1.0715,14.976,5.675,0.078005
-6.5464e-34,1.0604,-0.55431,0.0010751,1.0604,0.0010751,-0.55431,1.1965,14.976,4.725,0.052773
-7.4605e-35,1.0609,-0.58585,0.00020947,1.0609,0.00020947,-0.58585,1.2119,14.976,1.7375,0.052719
-8.0445e-31,1.064,-0.563,-0.019952,1.064,-0.019952,-0.563,1.204,14.976,-0.7625,0.052719
-1.1526e-38,1.0601,-0.55461,-0.00073879,1.0601,-0.00073879,-0.55461,1.1964,14.976,-3.775,0.052773
-1.9166e-20,0.59147,0.020055,-0.00037001,0.59147,-0.00037001,0.020055,0.59181,14.976,-6.525,0.027634
-5.9408e-14,0.59539,0.00828,2.2559e-06,0.59539,2.2559e-06,0.00828,0.59545,14.976,-2.1375,0.027605
-5.1661e-22,0.59525,0.0083558,-4.7111e-05,0.59525,-4.7111e-05,0.0083558,0.59531,14.976,0.3625,0.027605
-2.3885e-13,0.5951,0.008471,0.00025877,0.5951,0.00025877,0.008471,0.59516,14.976,2.8625,0.027605
-1.7527e-24,0.59302,0.020248,-0.00081849,0.59302,-0.00081849,0.020248,0.59337,14.976,6.975,0.027642
0.39904,0.0033789,0.011305,-9.5044e-05,0.0033789,-9.5044e-05,0.011305,0.011799,14.976,3.5875,0.0025312
0.39904,0.0034031,0.01001,5.7707e-07,0.0034031,5.7707e-07,0.01001,0.010573,14.976,1.0875,0.0025311
0.39905,0.0033989,0.010072,2.8746e-05,0.0033989,2.8746e-05,0.010072,0.01063,14.976,-1.4125,0.0025309
0.39878,0.0033213,0.014653,-4.9443e-05,0.0033213,-4.9443e-05,0.014653,0.015025,14.976,-5.075,0.0025398
1,0,-0,-0,4.4703e-05,-1.2808e-05,-0.0009176,0,14.976,-5.225,-0.02254
1,0,-0,0,2.4679e-05,2.8381e-06,-0.00045441,0,14.976,-1.4875,-0.022531
1,0,-0,0,2.4227e-05,7.5952e-08,-0.00048236,0,14.976,1.0125,-0.022531
1,0,0,-0,3.5916e-05,-1.4025e-05,0.00020694,0,14.976,3.5125,-0.022531
1,0,0,-0,9.6707e-06,-8.1015e-05,0.0050571,0,14.976,7.1252,-0.047659
1,0,0,0,1.2287e-05,3.4906e-05,0.0043031,0,14.976,2.9375,-0.047605
1,0,0,-0,1.2013e-05,-7.3736e-07,0.0042806,0,14.976,0.4375,-0.047605
1,0,0,-0,1.2153e-05,-5.1174e-07,0.0042917,0,14.976,-2.0625,-0.047605
1,0,0,-0,1.2632e-05,-1.5942e-05,0.0048877,0,14.976,-6.375,-0.047634
1,0,0,-0,1.3297e-05,-2.7132e-06,0.0006657,0,14.976,-3.925,-0.072773
1,0,0,-0,1.1689e-05,-2.5206e-05,0.0012963,0,14.976,-0.8375,-0.072719
1,0,0,0,8.712e-06,4.5614e-07,0.00090823,0,14.976,1.6625,-0.072719
1,0,0,0,1.3441e-05,1.1964e-06,0.00068125,0,14.976,4.575,-0.072773
1,0,0,-0,7.2999e-06,-5.7958e-06,0.0029231,0,14.976,5.825,-0.098005
1,0,0,0,4.6948e-06,8.8222e-07,0.0025574,0,14.976,2.2875,-0.097907
1,0,0,-0,4.8585e-06,-4.458e-07,0.0025723,0,14.976,-0.2125,-0.097907
1,0,0,0,4.0404e-06,0.00016392,0.00287,0,14.976,-2.7196,-0.097937
1,0,-0,0,1.1198e-06,0.00015025,-0.00043234,0,14.976,-7.6335,-0.12354
1,0,0,0,2.4776e-06,2.2623e-05,0.0012432,0,14.976,-2.6906,-0.12325
1,0,0,0,2.6503e-06,1.0636e-06,0.0013858,0,14.976,-0.1875,-0.12321
1,0,0,0,2.5688e-06,1.7677e-06,0.0013619,0,14.976,2.3125,-0.12321
1,0,0,0,5.0163e-06,5.5273e-06,0.00093448,0,14.976,5.875,-0.1234
1,0,0,0,8.4262e-07,2.0366e-06,0.002848,0,14.976,4.525,-0.14907
1,0,0,0,6.6897e-07,4.0124e-06,0.0019436,0,14.976,1.6375,-0.1487
1,0,0,0,9.3017e-07,1.7327e-07,0.0021505,0,14.976,-0.8625,-0.1487
1,0,0,-0,8.0285e-07,-8.9707e-06,0.0028425,0,14.976,-3.975,-0.14907
1,0,0,-0,4.9659e-07,-7.3768e-06,0.00089646,0,14.976,-6.325,-0.17522
1,0,0,-0,1.6937e-07,-6.3429e-06,0.0015201,0,14.976,-2.0375,-0.17444
1,0,0,0,2.1824e-07,1.4929e-05,0.0014953,0,14.976,0.4625,-0.17444
1,0,0,0,2.4041e-07,3.3532e-05,0.0015458,0,14.976,2.9625,-0.17444
1,0,0,-0,3.4544e-07,-2.0233e-05,0.00083284,0,14.976,7.1771,-0.17587
1,0,0,0,2.326e-07,8.0745e-05,0.0019414,0,14.975,3.4875,-0.20048
1,0,0,0,1.4291e-07,4.0191e-05,0.0016523,0,14.975,0.9875,-0.20048
1,0,0,-0,9.4351e-08,-5.0787e-05,0.0016814,0,14.975,-1.5125,-0.20048
1,0,0,0,1.8698e-07,1.5711e-05,0.0020246,0,14.975,-5.275,-0.20202
1,0,0,0,1.8882e-07,0.00013386,0.0010788,0,14.975,-5.025,-0.22985
1,0,0,-0,9.8287e-08,-4.476e-05,0.0011653,0,14.974,-1.3875,-0.227
1,0,0,0,1.3616e-07,4.2223e-05,0.0011024,0,14.974,1.1125,-0.227
1,0,0,0,1.9834e-07,0.00012566,0.0013917,0,14.974,3.6129,-0.22714
1,0,0,0,1.2647e-07,0.00036777,0.0012336,0,14.971,6.978,-0.26026
1,0,0,0,1.6386e-07,0.00021276,0.0012372,0,14.971,2.8625,-0.25414
1,0,0,0,1.7997e-07,0.00012759,0.0011973,0,14.971,0.3625,-0.25414
1,0,0,0,1.0503e-07,2.1231e-05,0.0012199,0,14.971,-2.1375,-0.25414
1,0,0,0,1.1094e-07,0.00019366,0.0011125,0,14.971,-6.5255,-0.2593
3.3644e-24,0.56755,-0.013238,0.011431,0.56755,0.011431,-0.013238,0.56782,12.475,-7.7222,0.24731
4.1675e-24,0.56459,0.0012368,0.0056683,0.56459,0.0056683,0.0012368,0.56462,8.8625,-7.7221,0.24313
9.066e-25,0.61495,0.0050867,0.0057531,0.61495,0.0057531,0.0050867,0.615,6.3625,-7.7221,0.24313
-1.2193e-28,0.80104,0.015203,0.0067343,0.80104,0.0067343,0.015203,0.80121,2.975,-7.7222,0.24731
1,0,-0,0,2.647e-05,1.4505e-06,-0.00034784,0,0.079786,-7.6568,-1.9132
3.0434e-27,0.89569,0.020217,-0.0030497,0.89569,-0.0030497,0.020217,0.89592,2.225,-7.7307,0.22531
